Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
TensorFlow for AI: Get to Know Tensorflow,Coursera Project Network,Advanced,4.7,https://www.coursera.org/learn/tensorflow-for-ai-get-to-know-tensorflow,"This guided project course is part of the ""Tensorflow for AI"" series, and this series presents material that builds on the first course of DeepLearning.AI TensorFlow Developer Professional Certificate offered at Coursera, which will help learners reinforce their skills and build more projects with Tensorflow.  In this 1-hour long project-based course, you will get to know the basics and main components of Tensorflow through hands-on exercises, and you will learn how to define, compile and train a neural network with Tensorflow, and you will get a bonus practical deep learning project implemented with Tensorflow. By the end of this project, you will have developed a deeper understanding of Tensorflow, learned how to build a neural network with Tensorflow, and learned practically how to use Tensorflow to implement AI projects so that you can start building and applying scalable models to real-world problems.  This class is for learners who want to use Python for building AI models with TensorFlow, and for learners who are currently taking a basic deep learning course or have already finished a deep learning course and are searching for a practical deep learning with TensorFlow project. Also, this project provides learners with deeper knowledge about the basics of Tensorflow and its main components and improves their skills in Tensorflow which helps them in fulfilling their career goals by adding this project to their portfolios.",Python Programming  entry point  exercise  project mine  Machine Learning  Test Set  project  Tensorflow  euler's totient function  Loss Function data-science machine-learning
Software Processes and Agile Practices,University of Alberta,Beginner,4.7,https://www.coursera.org/learn/software-processes-and-agile-practices,"This course delves into a variety of processes to structure software development. It also covers the foundations of core Agile practices, such as Extreme Programming and Scrum.",lean software development  process  kanban  software development process  software  Software Engineering  Leadership and Management  scrum (software development)  unified process  Agile Software Development computer-science design-and-product
On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,Google Cloud,Conversant,4.7,https://www.coursera.org/learn/onprem-fundamentals-apigee-gcp,"This course provides an introduction to Apigee API Platform On-Premises. The material walks you over Apigee product capabilities overview, architecture characteristics, technology stack and the fundamentals of topology design.  As part of the course key terminology, software organizational structure and architecture are covered.  The course represents the foundation for your understanding of Apigee API Platform On-Premises. The knowledge built on this course is a must for your understanding of the rest of the material on this specialization.  The second half of the course will focus on the installation of the Apigee API Platform on your on premise instance.",cloud computing security  solution stack  Planning  Cloud Platforms  openjdk  Google Cloud Platform  application programming interfaces  Scaling  node.js  protein data bank (file format) computer-science software-development
"Business Intelligence Concepts, Tools, and Applications",University of Colorado System,Advanced,4.3,https://www.coursera.org/learn/business-intelligence-tools,"This is the fourth course in the Data Warehouse for Business Intelligence specialization. Ideally, the courses should be taken in sequence.  In this course, you will gain the knowledge and skills for using data warehouses for business intelligence purposes and for working as a business intelligence developer. You�ll have the opportunity to work with large data sets in a data warehouse environment and will learn the use of MicroStrategy's Online Analytical Processing (OLAP) and Visualization capabilities to create visualizations and dashboards.   The course gives an overview of how business intelligence technologies can support decision making across any number of business sectors. These technologies have had a profound impact on corporate strategy, performance, and competitiveness and broadly encompass  decision support systems, business intelligence systems, and visual analytics. Modules are organized around the business intelligence concepts, tools, and applications, and the use of data warehouse for business reporting and online analytical processing, for creating visualizations and dashboards, and for business performance management and descriptive analytics.",Data Visualization  balanced scorecard  performance measurement  critical success factor  openfabrics alliance  Business Intelligence  SQL  Data Warehousing  MicroStrategy  Performance Management data-science data-analysis
Cybersecurity and Mobility,University System of Georgia,Beginner,4.4,https://www.coursera.org/learn/cybersecurity-mobility,"This course is for you if you are interested in transitioning toward a managerial role in cybersecurity and mobility. Through interviews with industry experts in this area, you will be able to analyze innovations powering the rapid spread of information technology and how they present new challenges for protecting data. For example, mobile devices increase convenience but often bypass traditional security measures. After this course, you will be able to describe how the nature of the threat evolves, as culprits employ a burgeoning set of sophisticated tools to take advantage of our growing reliance on networks for critical-data exchange.  If you want to pursue a career in the public sector, the stakes are high as well. The proliferation of hackers, inevitable human errors, bring-your-own-device (BYOD) initiatives, and the ever-broadening need to share information weigh heavily on government and education organizations, and consume substantial resources. The Pentagon, for example, has proposed to spend $23 billion on network security initiatives through 2018. This sounds like a large sum, until you consider the scope and importance of the U.S. government information resources this investment must protect.  After completing the course modules you will be able to explain how yesterday�s prevention strategies are no longer adequate for stopping Advanced, targeted attacks. Effective cybersecurity must be multi-dimensional and tiered, as threats can originate from virtually anywhere, target numerous levels of an organization, and sometimes persist for months or years before an information security staff is aware of an attack or breach. Therefore securing networks requires a holistic approach that incorporates several elements.",security  global workforce  internet of things  smartphones  wireless lan  internet  global  openfabrics alliance  sap erp  Mobile Security computer-science computer-security-and-networks
Create UI in Unity Part 1 - Screen Overlay Canvas,Coursera Project Network,Advanced,4.8,https://www.coursera.org/learn/create-ui-unity-screen-overlay-canvas,"In this 90-minute, project-based course, you will be introduced to Unity's User Interface (UI) Toolkit for building a Heads Up Display (HUD) for your game. This project covers creating and setting up each UI component and writing simple scripts that will update the UI for player-feedback.  The guided project will introduce you to the following Unity UI concepts: - Canvas - Rect Transform - Text - Image - Animation - Coding techniques including the Time Class, String Formatting, Inheritance and Polymorphism  This is Part 1 of a four-part series on creating a user interface for your game or other Unity application. Part 2 covers creating a world-space canvas, part 3 will demonstrate how to create a settings menu and part 4 will show you how to design the UI to automatically adapt to the aspect ratio of any screen.  This is a stand-alone guided project, and also serves as an optional but recommended foundation for the ""User Interface"" series.  This series makes use of the sci-fi-themed Unity project created in Create Power-Ups and Obstacles with C# in Unity. It compliments this guided project and, although not a prerequisite, is recommended for a more well-rounded understanding of the concepts presented herein.",head-up display  null coalescing operator  project  display devices  Video Editing  video game development  Writing  run time (program lifecycle phase)  modulo operation  user fee computer-science software-development
Create Power-Ups and Obstacles with C# in Unity,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/create-power-ups-obstacles-c-sharp-unity,"In this project-based course we will create a science-fiction scene with damaging fire, a healing zone, and some player-enhancing pick-ups to help a player get around obstacles.  You'll learn how to write C# scripts that will manage the player's health points, how to use Colliders as Triggers to create obstacles and helpers for a player, about proximity-activated mechanics, and about creating an in-game pick-up/power-up.",Software Engineering  project  healing  c sharp (programming language)  matching  video game development  english language  c++  boolean data type  Writing computer-science software-development
Image Compression and Generation using Variational Autoencoders in Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/image-compression-generation-vae,"In this 1-hour long project, you will be introduced to the Variational Autoencoder. We will discuss some basic theory behind this model, and move on to creating a machine learning project based on this architecture. Our data comprises 60.000 characters from a dataset of fonts. We will train a variational autoencoder that will be capable of compressing this character font data from 2500 dimensions down to 32 dimensions. This same model will be able to then reconstruct its original input with high fidelity. The true advantage of the variational autoencoder is its ability to create new outputs that come from distributions that closely follow its training data: we can output characters in brand new fonts.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Autoencoder  Test Set  Studentized Residual  project  Python Programming  Computer Programming  mimics  image processing  use case  Machine Learning data-science machine-learning
Optimize TensorFlow Models For Deployment with TensorRT,Coursera Project Network,Advanced,4.7,https://www.coursera.org/learn/tensorflow-tensorrt,"This is a hands-on, guided project on optimizing your TensorFlow models for inference with NVIDIA's TensorRT. By the end of this 1.5 hour long project, you will be able to optimize Tensorflow models using the TensorFlow integration of NVIDIA's TensorRT (TF-TRT), use TF-TRT to optimize several deep learning models at FP32, FP16, and INT8 precision, and observe how tuning TF-TRT parameters affects performance and inference throughput.   Prerequisites: In order to successfully complete this project, you should be competent in Python programming, understand deep learning and what inference is, and have experience building deep learning models in TensorFlow and its Keras API.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",project mine  Machine Learning  mathematical optimization  inference  throughput  modeling  Python Programming  Deep Learning  Tensorflow  performance data-science machine-learning
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,Beginner,4.7,https://www.coursera.org/learn/cloud-infrastructure-design-process,"This course equips students to build highly reliable and efficient solutions on Google Cloud using proven design patterns. It is a continuation of the Architecting with Google Compute Engine or Architecting with Google Kubernetes Engine courses and assumes hands-on experience with the technologies covered in either of those courses. Through a combination of presentations, design activities, and hands-on labs, participants learn to define and balance business and technical requirements to design Google Cloud deployments that are highly reliable, highly available, secure, and cost-effective.  This course teaches participants the following skills: ? Apply a tool set of questions, techniques, and design considerations ? Define application requirements and express them objectively as KPIs, SLOs and SLIs ? Decompose application requirements to find the right microservice boundaries ? Leverage Google Cloud developer tools to set up modern, automated deployment pipelines ? Choose the appropriate Cloud Storage services based on application requirements ? Architect cloud and hybrid networks ? Implement reliable, scalable, resilient applications balancing key performance metrics with cost ? Choose the right Google Cloud deployment services for your applications ? Secure cloud applications, data, and infrastructure ? Monitor service level objectives and costs using Google Cloud tools  Prerequisites ? Completion of prior courses in the Architecting with Google Cloud Platform Specialization, Architecting with Google Kubernetes Engine or have equivalent experience ? Basic proficiency with command-line tools and Linux operating system environments ? Systems Operations experience including deploying and managing applications, either on-premises or in a public cloud environment  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",Google Cloud Platform  Cloud Platforms  Cloud Computing  process  security  Cloud Infrastructure  deployment environment  site reliability engineering  architecture  reliability engineering information-technology cloud-computing
Visual Machine Learning with Yellowbrick,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/machine-learning-visualization,"Welcome to this project-based course on Visual Machine Learning with Yellowbrick. In this course, we will explore how to evaluate the performance of a random forest classifier on the Poker Hand data set using visual diagnostic tools from Yellowbrick. With an emphasis on visual steering of our analysis, we will cover the following topics in our machine learning workflow: feature analysis, feature importance, algorithm selection, model evaluation using regression, cross-validation, and hyperparameter tuning.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, Yellowbrick, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Algorithm Selection  Algorithms  randomness  hyperparameter  opaque pointer  Random Forest  Regression  Machine Learning  Python Programming  linearity data-science machine-learning
Create a Memory Puzzle Game in Python Using Pygame,Coursera Project Network,Beginner,4.3,https://www.coursera.org/learn/create-memory-puzzle-game-in-python-using-pygame,"By the end of this project, you will create a memory puzzle game using python and pygame modules. Python is one of the easiest globally used programming languages, and using the pygame modules with it will give you a chance to easily implement many game applications. Pygame is an open free source that you can download later easily. You will learn about most of the objects and functions in the pygame that will help you to build your own game project. Also you will learn how to insert drawings, images and texts to your game.  Note: This project works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",mod (video gaming)  project  pygame  Graphic Design  logic  Python Programming  logic gate  Computer Programming  euler's totient function  c dynamic memory allocation computer-science software-development
"Responsive Website Basics: Code with HTML, CSS, and JavaScript",University of London,Intermediate,4.5,https://www.coursera.org/learn/website-coding,"In this course you will learn three key website programming and design languages: HTML, CSS and JavaScript. You will create a web page using basic elements to control layout and style.  Additionally, your web page will support interactivity.   At the end of the course, you will be able to:  1. Define the purpose of HTML, CSS and JavaScript 2. Make a simple web page using HTML 3. Use CSS to control text styles and layout 4. Use CSS libraries such as Bootstrap to create responsive layouts 5. Use JavaScript variables and functions 6. Manipulate web page content using JavaScript 7. Respond to user input using JavaScript  In this course, you will complete:  2 assignments writing HTML, CSS and JavaScript, each taking ~1 hour to complete 4 quizzes, each taking ~20 minutes to complete 1 programming exercise~30 minutes to complete multiple practice quizzes, each taking ~5 minutes to complete  Participation in or completion of this online course will not confer academic credit for University of London programmes.",jquery  web  HTML and CSS  responsive web design  Javascript  Web Development  CSS  Web Design  HTML5  html computer-science mobile-and-web-development
Practical Time Series Analysis,The State University of New York,Intermediate,4.5,https://www.coursera.org/learn/practical-time-series-analysis,"Welcome to Practical Time Series Analysis!  Many of us are ""accidental"" data analysts. We trained in the sciences, business, or engineering and then found ourselves confronted with data for which we have no formal analytic training.  This course is designed for people with some technical competencies who would like more than a ""cookbook"" approach, but who still need to concentrate on the routine sorts of presentation and analysis that deepen the understanding of our professional topics.   In practical Time Series Analysis we look at data sets that represent sequential information, such as stock prices, annual rainfall, sunspot activity, the price of agricultural products, and more.  We look at several mathematical models that might be used to describe the processes which generate these types of data. We also look at graphical representations that provide insights into our data. Finally, we also learn how to make forecasts that say intelligent things about what we might expect in the future.  Please take a few minutes to explore the course site. You will find video lectures with supporting written materials as well as quizzes to help emphasize important points. The language for the course is R, a free implementation of the S language. It is a professional environment and fairly easy to learn.  You can discuss material from the course with your fellow learners. Please take a moment to introduce yourself!  Time Series Analysis can take effort to learn- we have tried to present those ideas that are ""mission critical"" in a way where you understand enough of the math to fell satisfied while also being immediately productive. We hope you enjoy the class!",autoregressive model  Time Series  Time Series Forecasting  series a round  time series models  Autoregressive Integrated Moving Average  Time Series Analysis  Forecasting  analysis  modeling data-science probability-and-statistics
Mathematical Thinking in Computer Science,University of California San Diego,Intermediate,4.2,https://www.coursera.org/learn/what-is-a-proof,"Mathematical thinking is crucial in all areas of computer science: algorithms, bioinformatics, computer graphics, data science, machine learning, etc. In this course, we will learn the most important tools used in discrete mathematics: induction, recursion, logic, invariants, examples, optimality. We will use these tools to answer typical programming questions like: How can we be certain a solution exists? Am I sure my program computes the optimal answer? Do each of these objects meet the given requirements?  In the course, we use a try-this-before-we-explain-everything approach: you will be solving many interactive (and mobile friendly) puzzles that were carefully designed to allow you to invent many of the important ideas and concepts yourself.  Prerequisites:  1. We assume only basic math (e.g., we expect you to know what is a square or how to add fractions), common sense and curiosity.  2. Basic programming knowledge is necessary as some quizzes require programming in Python.",logic  puzzle  mathematical induction  Algorithms  proof theory  Permutations  Problem Solving  Discrete Mathematics  Mathematics  mathematical logic computer-science algorithms
Automating Real-World Tasks with Python,Google,Advanced,4.7,https://www.coursera.org/learn/automating-real-world-tasks-python,"In the final course, we'll tie together the concepts that you�ve learned up until now. You'll tackle real-world scenarios in Qwiklabs that will challenge you to use multiple skills at once.  First, we'll take a closer look at how to use external Python modules to extend your code's capabilities, and spend some time learning how to use documentation to learn a new module. For example, we'll use the Python Image Library (PIL) to create and modify images. We'll show you some simple examples of how to perform common tasks in the course material, but it will be up to you to explore the module documentation to figure out how to solve specific problems.  Next, we'll show you how to communicate with the world outside of your code! You'll use data serialization to turn in-memory objects into messages that can be sent to other programs. Your program will send messages across the network to Application Programming Interfaces (APIs) offered by other programs. For those times when your code needs to talk to a person instead of a program, you'll also learn to send email messages.  At the end of this course, you�ll be able to take a description of a problem and use your skills to create a solution -- just like you would on the job. In your final capstone project, you'll be given a description of what your customer needs, and it will be up to you to create a program to do it!",test automation  Google Cloud Platform  build automation  Computer Programming  github  software  Cloud Computing  web  portable document format  Python Programming information-technology cloud-computing
Internet of Things: Communication Technologies,University of California San Diego,Intermediate,4.5,https://www.coursera.org/learn/internet-of-things-communication,"Have you wondered how �Things� talk to each other and the cloud? Do you understand the alternatives for conveying latency-sensitive real time data versus reliable signaling data? Building on the skills from the Sensing and Actuation course, we will explore protocols to exchange information between processors.   In this course, you will learn how VoIP systems like Skype work and implement your own app for voice calls and text messages.  You will start by using the Session Initiation Protocol (SIP) for session management. Next, you will learn how voice codecs such as Adaptive Multi Rate (AMR) are used in 3G networks and use them for voice traffic in your app.   Learning Goals: After completing this course, you will be able to:  1.\tImplement session initiation, management and termination on your DragonBoard� 410c using SIP. 2.\tDiscover other users and exchange device capabilities. 3.\tCompare and contrast narrowband and wideband codecs and experience the voice quality differences between them. 4.\tImplement and demonstrate VoIP calls using the DragonBoard 410c.",android (operating system)  Web Development  internet  latex  voip phone  codecs  arduino  voice over ip  entry point  internet of things computer-science computer-security-and-networks
Fundamentals of Visualization with Tableau,"University of California, Davis",Beginner,4.4,https://www.coursera.org/learn/data-visualization-tableau,"In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, we�ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.",presentation  Visualization (Computer Graphics)  tableau software  analysis  Data Analysis  sources  Storytelling  software  Computer Graphics  Data Visualization data-science data-analysis
Building Modern Java Applications on AWS,Amazon Web Services,Advanced,4,https://www.coursera.org/learn/building-modern-java-applications-on-aws,"In modern cloud native application development, it�s oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS.   Building brand new applications on AWS is a different task than lifting and shifting existing applications into AWS. When you have an existing application that you need to move to AWS, you might first look to using Amazon EC2 as your virtual machines, or maybe you might look into using docker containers and container hosting services like Amazon Elastic Container Service or Amazon Elastic Kubernetes Service. Those are all great application hosting options, but in most cases, they still require you to have some kind of pulse on the underlying infrastructure hosting your application. \t`  Building Modern Java Applications on AWS will explore how to build an API driven application using Amazon API Gateway for serverless API hosting, AWS Lambda for serverless computing, and Amazon Cognito for serverless authentication. We will follow an API driven development process and first mock up what the API will look like. We will cover all the ins and outs of the service Amazon API Gateway, and as you�ll learn- it does a lot more than just hosting an API.   Then we will add authentication to the API using Amazon Cognito. You�ll learn about how the authorization flow works with Cognito, and how to build it into your APIs. From there, we will add a Lambda backend that will be triggered by API Gateway. The lambda functions will be using the AWS SDKs to perform various data processing tasks. You�ll learn about the different configurations that exist for Lambda, and we will show you how to create and manage lambda functions. Some of the features of our API will require multiple lambda functions to execute in a specific order, like a workflow, and we will use AWS Step Functions to create a serverless workflow. Finally, we will talk about how to optimize your APIs at every layer using AWS features.  Note: There are three versions of this class, ""Building Modern Node.js Applications on AWS"" for Node.js developers, ""Building Modern Python Applications on AWS"" for Python developers, and ""Building Modern Java Applications on AWS"" for Java developers.  The courses do for a large part, overlap and in general, we recommend that you take the course that focuses on the SDK you plan to use to develop your AWS Cloud based applications.  We expect that you have basic knowledge of AWS already. Some examples of concepts you should be familiar with are: you should know the basics of the AWS Global infrastructure, like what regions and availability zones are. You also should know the at a high-level AWS Identity and Access Management, or IAM, and how it is used to control access to AWS resources. You should also understand what an Amazon EC2 instance is, what Amazon S3 is, what a VPC is, as well as other basic AWS terminology.",application programming interfaces  mathematical optimization  euler's totient function  https  Kubernetes  command-line interface  event-driven architecture  modeling  Benefits  Amazon Web Services information-technology cloud-computing
Introduction to Cloud Identity,Google Cloud,Beginner,4.5,https://www.coursera.org/learn/cloud-identity,"Introduction to Cloud Identity serves as the starting place for any new Cloud Identity, Identity/Access Management/Mobile Device Management admins as they begin their journey of managing and establishing security and access management best practices for their organization.  This 15-30 hour accelerated, one-week course will leave you feeling confident to utilize the basic functions of the Admin Console to manage users, control access to services, configure common security settings, and much more.  Through a series of introductory lessons, step-by-step hands-on exercises, Google knowledge resources, and knowledge checks, learners can expect to leave this training with all of the skills they need to get started as new Cloud Identity Administrators.  Learning Objectives  By the end of this course participants will be able to: � Establish a Cloud Identity domain for their organization or personal domain.  � Add users in order to practice user lifecycle management. � Modify user permissions to gain an understanding of core Cloud Identity features. � Add mobile devices within the Google Mobile Management module. � Modify mobile management policy sets to gain familiarity with product options. � Navigate the Reports module, and practice running reports. � Explore and apply different security protocols to the domain.  IMPORTANT - Before you enroll, you should be prepared to:  � Sign up for a free 14 day trial of Cloud Identity.  You will need to enter payment method information.  We will show you step-by-step how to cancel your account if you wish to end your Cloud Identity instance at the end of training and avoid being charged. � Purchase a new domain or use one that you already own. The domain you use IS NOT included as part of the Cloud Identity trial.",Cloud Management  Cloud Computing  security assertion markup language  Leadership and Management  Cloud Applications  user (computing)  identity management  Software As A Service  security  cloud computing security information-technology cloud-computing
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",Beginner,4.4,https://www.coursera.org/learn/bayesian-statistics,"This course introduces the Bayesian approach to statistics, starting with the concept of probability and moving to the analysis of data. We will learn about the philosophy of the Bayesian approach as well as how to implement it for common types of data. We will compare the Bayesian approach to the more commonly-taught Frequentist approach, and see some of the benefits of the Bayesian approach. In particular, the Bayesian approach allows for better accounting of uncertainty, results that have more intuitive and interpretable meaning, and more explicit statements of assumptions. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. For computing, you have the choice of using Microsoft Excel or the open-source, freely available statistical package R, with equivalent content for both options. The lectures provide some of the basic mathematical development as well as explanations of philosophy and interpretation. Completion of this course will give you an understanding of the concepts of the Bayesian approach, understanding the key differences between Bayesian and Frequentist approaches, and the ability to do basic data analyses.",Bayesian Inference  General Statistics  Bayes' Theorem  analysis  probability  Bayesian  prior probability  inference  conjugate prior  Bayesian Statistics data-science probability-and-statistics
Creating Custom Callbacks in Keras,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/custom-callbacks-keras,"In this 1.5-hour long project-based course, you will learn to create a custom callback function in Keras and use the callback during a model training process. We will implement the callback function to perform three tasks: Write a log file during the training process, plot the training metrics in a graph during the training process, and reduce the learning rate during the training with each epoch.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with (e.g. Python, Jupyter, and Tensorflow) pre-installed.  Prerequisites: In order to be successful in this project, you should be familiar with Python, Neural Networks, and the Keras framework.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",callback (computer programming)  Keras  mathematical optimization  Tensorflow  internet  Machine Learning  Python Programming  euler's totient function  project  graphs data-science machine-learning
Cybersecurity and the Internet of Things,University System of Georgia,Beginner,4.6,https://www.coursera.org/learn/iot-cyber-security,"Welcome! You may have heard about the Internet of Things (IoT). But you may also have wondered about what it is. Or for that matter, what does it mean to you or an organization. This course is for you if you are curious about the most recent trends and activities in the internet capabilities and concerns about programmed devices. There are complexities and areas of necessary awareness when the industrial sector becomes connected to your home. Security policies and practices have not yet caught up to the internet capabilities of some of our most common products. The �connected home�, �consumer wearables�, or even an employee�s HVAC system may cause an unanticipated threat to your business environment.    You will explore current security and privacy related concerns in each of these areas. Every module will include readings, videos, case studies, and a quiz to help make sure you understand the material and concepts we talk about. This course offers a place to learn, reflect, and plan for a smart community approach to IoT. Portions of this course may seem extremely technical in nature. That is because the �things� in IoT represents engineering. Try to grasp the concept in that case.",security  cyber-security regulation  privacy  internet  Risk  internet of things  home  openfabrics alliance  show me!  home directory computer-science computer-security-and-networks
Create an FPS Weapon in Unity (Part 2 - Firing Effects),Coursera Project Network,Advanced,Not Calibrated,https://www.coursera.org/learn/create-fps-weapon-unity-firing-effects,"In this one-hour, project-based course, you'll learn how to add realism to weapons-fire by creating a recoil animation and muzzle-flash and smoke effects. You'll also learn how to add bullet holes and a knock-back effect to shot objects.  The guided project will introduce you to the following Unity concepts: - Prefabs - Animation - Particle Effects - Physics - Coding techniques such as Interfaces  This is Part 2 of a four-part series on creating a weapon for your FPS game. In Part 1, we covered equipping your FPS player with a gun. Part 3 will show you how to set up the weapon's properties and damage effects to the destroyable GameObjects. Lastly, Part 4 will walk you through the steps for adding ammunition, reloading the weapon and creating magazines and other weapons.  This is a stand-alone guided project, but because this is a continuation of previous parts in the ""FPS Weapon"" series, it is recommended that you complete the first parts before commencing this guided project.  This series also makes use of the western-themed Unity project created in Control physics with C# in Unity and the VM-compatible FPS Player script written in Create a VM Compatible First Person Camera. These compliment this guided project and, although not prerequisites, are recommended for a more well-rounded understanding of the concepts presented herein.",java annotation  Writing  tostan  ordered pair  validated learning  prince2  project  teaching method  work (project management)  hole computer-science software-development
Python Programming: A Concise Introduction,Wesleyan University,Advanced,4.6,https://www.coursera.org/learn/python-programming-introduction,"The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.  The course is four modules long and is designed to be completed in four weeks.",Python Programming  Databases  ipython  language  syntax  semantics  Computer Programming  python libraries  Problem Solving  python syntax and semantics computer-science software-development
Performing Data Definition and Manipulation in SQL,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/performing-data-definition-and-manipulation-in-sql,"In this 2-hour long project-based course, you will learn how to use SQL data definition statements for various data definition tasks and how to use SQL data manipulation statements for data manipulation tasks such as updating records in a table. In addition, you will learn how to upload a CSV file into a database using PostgreSQL.",relative change and difference  jpeg  SQL  Data Manipulation  Continuous Function  truncation  upload  table (database)  download  Databases data-science data-analysis
Object Oriented Programming in Java,University of California San Diego,Beginner,4.7,https://www.coursera.org/learn/object-oriented-java,"Welcome to our course on Object Oriented Programming in Java using data visualization. People come to this course with many different goals -- and we are really excited to work with all of you! Some of you want to be professional software developers, others want to improve your programming skills to implement that cool personal project that you�ve been thinking about, while others of you might not yet know why you�re here and are trying to figure out what this course is all about.  This is an intermediate Java course. We recommend this course to learners who have previous experience in software development or a background in computer science.  Our goal is that by the end of this course each and every one of you feels empowered to create a Java program that�s more Advanced than any you have created in the past and that is personally interesting to you. In achieving this goal you will also learn the fundamentals of Object Oriented Programming, how to leverage the power of existing libraries, how to build graphical user interfaces, and how to use some core algorithms for searching and sorting data. And this course is project-based, so we�ll dive right into the project immediately!  We are excited to be offering a unique course structure, designed to support learners of different backgrounds in succeeding at their own pace. The first module explains how this will work and if this course is right for you. We also recommend taking a few minutes to explore the course site. A good place to start is the navigation bar on the left. Click Course Content to see what material we�ll cover each week, as well preview the assignments you�ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class. Be sure to introduce yourself to everyone in the Meet and Greet forum.  This course should take about 6 weeks to complete. You can check out the recommended course schedule below to see a quick overview of the lessons and assignments you�ll complete each week.  We�re excited you�re here learning with us. Let�s get started!",object-oriented programming  java applet  Algorithms  Computer Programming  Java Programming  sorting  applet  polymorphism (computer science)  java (software platform)  sorting algorithm computer-science software-development
Data Management and Visualization,Wesleyan University,Advanced,4.3,https://www.coursera.org/learn/data-visualization,"Whether being used to customize advertising to millions of website visitors or streamline inventory ordering at a small restaurant, data is becoming more integral to success. Too often, we�re not sure how use data to find answers to the questions that will make us more successful in what we do. In this course, you will discover what data is and think about what questions you have that can be answered by the data � even if you�ve never thought about data before. Based on existing data, you will learn to develop a research question, describe the variables and their relationships, calculate basic statistics, and present your results clearly. By the end of the course, you will be able to use powerful data analysis tools � either SAS or Python � to manage and visualize your data, including how to deal with missing data, variable groups, and graphs. Throughout the course, you will share your progress with others to gain valuable feedback, while also learning how your peers use data to answer their own questions.",language  Data Management  General Statistics  Data Visualization  Computer Programming  Python Programming  Frequency Distribution  analysis  Data Analysis  Leadership and Management data-science data-analysis
